Traditional,POS,Redirect,RP,GA,PhonEng
brucine,,,br'u:si:n,,
brucite,,,br'u:saIt,,
Bruckner,,,br'Vkn@,br'Vkn@`,
Bruges,,,br'u:dZIz,br'u:dZI#z,
brugh,,,br'Vg,,br'V
bruin,,,br'u:In,,
bruins,,,br'u:Inz,,
bruise,,,br'u:z,,
bruised,,,br'u:zd,,
bruiser,,,br'u:z@,br'u:z@`,
bruises,,,br'u:zIz,br'u:zI#z,br'u:z@z
bruising,,,br'u:zIN,,
bruit,,,br'u:t,,
brule,,,br'u:l,,
brulyie,,,br'u:lIi:,,br'Uli:
brulzie,,,br'Vlzi:,,br'Uli:
Brumaire,,,bru:m'e@,bru:m'Er,bri:m'Er
brumal,,,br'u:m@l,,
brumby,,,br'Vmbi:,,
brume,,,br'u:m,,
brummagem,,,br'VmeIdZ@m,,br'Vm@dZ@m
Brummel,,,br'Vm@l,,
Brummell,,,br'VmEl,,br'Vm@l
brumous,,,br'u:m@s,,
brunch,,,br'VntS,,
brunches,,,br'VntSIz,br'VntSI#z,
Brundisium,,,brVnd'Isi:@m,,br@nd'Izi:@m
Brunei,,,bru:n'aI,,
Brunel,,,br'Vn@l,,bru:n'El
Brunelleschi,,,brVnIl'EstSI,brVnIl'EstSi:,bru:n@l'Eski:
brunet,,,br'VnIt,,bru:n'Et
brunette,,,brVn'Et,,bru:n'Et
brunettes,,,brVn'Ets,,bru:n'Ets
Brunhild,,,bru:nh'Ild,,br'UnhIlt
Brunhilde,,,bru:nh'Ild@,,brUnh'Ild@
Bruno,,,br'u:noU,,
Brunswick,,,br'VnswIk,,br'VnzwIk
brunt,,,br'Vnt,,
Brusa,,,br'u:s@,,br'u:sA
brush,,,br'VS,,
brushed,,,br'VSt,,
brushes,,,br'VSIz,br'VSI#z,
brushfire,,,br'VSfaI@,br'VSfaI@`,br'VSfaIr
brushfires,,,br'VSfaI@z,br'VSfaI@`z,br'VSfaIrz
brushing,,,br'VSIN,,
brushless,,,br'VSl@s,,br'VSlEs
brushup,,,br'VSVp,,
brushwood,,,br'VSwUd,,
brushwork,,,br'VSw3:k,,
brushy,,,br'VSi:,,
brusque,,,br'Vsk,,
brusquely,,,br'Vskli:,,
brusqueness,,,br'Vskn@s,,br@skn'Es
brusquerie,,,br'Vskw@ri:,br'Vskw@`ri:,br'Vsk@`i:
Brussels,,,br'Vs@lz,,
brust,,,br'Vst,,
brut,,,br'Vt,,br'u:t
brutal,,,br'u:t@l,,
brutalisation,,brutalization
brutalise,,brutalize
brutalised,,brutalized
brutalises,,brutalizes
brutalising,,brutalizing
brutalism,,,br'u:t@lIz@m,,
brutalities,,,bru:t'alIti:z,,bru:t'al@ti:z
brutality,,,bru:t'alIti:,,
brutalization,,,bru:t@laIz'eIS@n,,br'u:t@l@zeIS@n
brutalize,,,br'u:t@laIz,,
brutalized,,,br'u:t@laIzd,,
brutalizes,,,br'u:t@laIzIz,br'u:t@laIzI#z,
brutalizing,,,br'u:t@laIzIN,,
brutally,,,br'u:t@li:,,
brute,,,br'u:t,,
brutely,,,br'u:tli:,,
brutify,,,br'u:tIfaI,,br'u:t@faI
bruting,,,br'u:tIN,,
brutish,,,br'u:tIS,,
brutishly,,,br'u:tISli:,,
brutishness,,,br'u:tISn@s,,br'u:tISnEs
Brutus,,,br'u:t@s,,
Bruxelles,,,br'VksElz,,br@ks'El@s
bruxism,,,br'VksIz@m,,
Bryan,,,br'aI@n,,
Bryansk,,,br'aIansk,,bri:'Ansk
Bryant,,,br'aI@nt,,
Bryce,,,br'aIs,,
Brynhild,,,br'InhIld,,
bryological,,,braI@l'QdZIk@l,braI@l'AdZIk@l,
bryology,,,braI'Ql@dZi:,braI'Al@dZi:,
Bryon,,,br'aIQn,br'aIAn,br'aI@n
bryony,,,br'aI@nI,br'aI@ni:,
bryophyte,,,br'aI@faIt,,
bryophytic,,,braI@f'ItIk,,
bryozoan,,,br'aI@zoUn,,braI@z'oU@n
Brython,,,br'ITQn,br'ITAn,br'IT@n
Brythonic,,,brIT'QnIk,brIT'AnIk,
Brzezinski,,,brzEz'InskI,brzEz'Inski:,brIz'Inski:
Bt,,,bi:t'i:,,b'i:t'i:
bu,,,b'u:,,
bub,,,b'Vb,,
bubal,,,bj'u:b@l,,
bubaline,,,bj'u:b@laIn,,
bubalis,,,bju:b'Ali:z,,bj'u:b@lIs
bubba,,,b'Vb@,,
bubble,,,b'Vb@l,,
bubbled,,,b'Vb@ld,,
bubbler,,,b'Vbl@,b'Vbl@`,
bubbles,,,b'Vb@lz,,
bubbling,,,b'VblIN,,b'Vb@lIN
bubbly,,,b'Vbli:,,
bubby,,,b'Vbi:,,
Buber,,,bj'u:b@,bj'u:b@`,b'u:b@`
bubinga,,,bju:b'INg@,,b@b'INg@
bubo,,,bj'u:boU,,
bubonic,,,bju:b'QnIk,bju:b'AnIk,
bubonocele,,,bj'u:b@noUs@l,,bju:b'An@si:l
Bucaramanga,,,bju:ka#ra#m'ang@,,bu:k'ArAm'ANgA
buccal,,,b'Vk@l,,
buccaneer,,,bVka#n'i:@,bVka#n'Ir,bVk@n'i:r
buccaneering,,,bVka#n'i@IN,bVka#n'IrIN,
buccaneers,,,bVka#n'i:@z,bVka#n'Irz,bVk@n'i:rz
buccinator,,,b'u:tSIneIt@,b'u:tSI#neIt@`,b'Vks@neIt@`
buccinatory,,,b'u:tSIn@t@ri:,b'u:tSIn@tori:,b'Vks@n@tori:
bucentaur,,,bj'u:s@ntO:,bj'u:s@ntO:r,bju:s'EntQr
Bucephalus,,,bj'u:sIfal@s,,bju:s'Ef@l@s
Buchan,,,b'VtS@n,,b'Vk@n
Buchanan,,,bju:k'an@n,,
Bucharest,,,bu:ka#r'Est,,b'u:k@`Est
Buchenwald,,,b'VtS@nw@ld,,b'Uk@nwAld
Buchmanism,,,b'VtSm@nIz@m,,b'Ukm@nIz@m
Buchner,,,b'VtSn@,b'VtSn@`,b'Vkn@`
Buchwald,,,b'VtSw@ld,,b'VkwO:ld
buck,,,b'Vk,,
buckaroo,,,b'Vka#ru:,,b'Vk@`u:
buckayro,,,bVk'eIroU,,b@k'e@oU
buckbean,,,b'Vkbi:n,,
buckboard,,,b'VkbO:d,b'Vkbord,
bucked,,,b'Vkt,,
buckeen,,,b'Vki:n,,b@k'i:n
bucker,,,b'Vk@,b'Vk@`,
bucket,,,b'VkIt,,
bucketful,,,b'VkItf@l,,b'VkItfUl
buckets,,,b'VkIts,,b'Vk@ts
buckeye,,,b'VkaI,,
buckeyes,,,b'VkaIz,,
buckhorn,,,b'VkhO:n,b'VkhO:rn,
buckhound,,,b'VkhaUnd,,
bucking,,,b'VkIN,,
Buckingham,,,b'VkIN@m,b'VkINam,b'VkINham
Buckinghamshire,,,b'VkINamS@,b'VkINamS@`,b'VkIN@mSi:r
buckish,,,b'VkIS,,
buckishly,,,b'VkISli:,,
buckjump,,,b'VkdZVmp,,
buckjumper,,,b'VkdZVmp@,b'VkdZVmp@`,
buckle,,,b'Vk@l,,
buckled,,,b'Vk@ld,,
buckler,,,b'Vkl@,b'Vkl@`,
buckles,,,b'Vk@lz,,
Buckley,,,b'VklI,b'Vkli:,
buckling,,,b'VklIN,,
Buckner,,,b'Vkn@,b'Vkn@`,
bucko,,,b'VkoU,,
buckra,,,b'Vkr@,,
buckram,,,b'Vkram,,b'Vkr@m
bucks,,,b'Vks,,
bucksaw,,,b'VksO:,,b'VksQ
buckshee,,,b'VkSi:,,
buckshot,,,b'VkSQt,b'VkSAt,
buckskin,,,b'VkskIn,,
buckskins,,,b'VkskInz,,
bucktail,,,b'VkteIl,,
buckthorn,,,b'VkTO:n,b'VkTO:rn,
bucktooth,,,b'Vktu:T,,
buckwheat,,,b'VkWi:t,,b'Vkwi:t
bucolic,,,bju:k'QlIk,bju:k'AlIk,
bucolics,,,bju:k'QlIks,bju:k'AlIks,
Bucovina,,,bj'u:k@vIn@,,bu:k@v'i:n@
bud,,,b'Vd,,
Budapest,,,bu:d@p'Est,,b'u:d@pEst
buddha,,,b'Ud@,b'u:d@,
Buddhahood,,,b'Ud@hUd,b'u:d@hUd,
Buddhas,,,b'Ud@z,b'u:d@z,
buddhi,,,b'UdaI,b'u:daI,b'Udi:
Buddhism,,,b'UdIz@m,b'u:dIz@m,
Buddhist,,,b'UdIst,b'u:dIst,b'u:d@st
Buddhists,,,b'UdIsts,b'u:dIsts,b'u:d@sts
Buddhology,,,bUd'Ql@dZi:,bu:d'Al@dZi:,bUd'Al@dZi:
buddies,,,b'VdIz,,b'Vdi:z
budding,,,b'VdIN,,
buddle,,,b'Vd@l,,
buddleia,,,b'VdleI@,,b@dl'i:@
buddy,,,b'Vdi:,,
budge,,,b'VdZ,,
budged,,,b'VdZd,,
budgeree,,,b'VdZri:,,b'VdZ@`i:
budgerigar,,,b'VdZ@rIgA,b'VdZ@`rIgAr,b'VdZ@`i:gAr
budget,,,b'VdZIt,,
budgetary,,,b'VdZIt@ri:,b'VdZItEri:,
budgeted,,,b'VdZItId,b'VdZItI#d,b'VdZIt@d
budgeteer,,,bVdZIt'i:@,bVdZIt'Ir,
budgeteers,,,bVdZIt'i:@z,bVdZIt'Irz,
budgeting,,,b'VdZItIN,,
budgets,,,b'VdZIts,,
budgie,,,b'VdZi:,,
budging,,,b'VdZIN,,
buds,,,b'Vdz,,
Budweis,,,b'VdweIz,,b'UtvaIs
Budweiser,,,b'VdwaIz@,b'VdwaIz@`,
Buenaventura,,,bju:@neIv'EntS@r@,bju:@neIv'EntS@`r@,bweIn@vEnt'Ur@
bueno,,,bj'u:@noU,,bw'EnQ
buff,,,b'Vf,,
buffa,,,b'Vf@,,
buffalo,,,b'Vf@loU,,
buffaloes,,,b'Vf@loUz,,
buffalofish,,,b'Vfa#lQfIS,b'Vfa#lAfIS,b'Vf@loUfIS
buffe,,,b'Vf,,b@f
buffer,,,b'Vf@,b'Vf@`,
buffered,,,b'Vf@d,b'Vf@`d,
buffering,,,b'Vf@rIN,b'Vf@`rIN,b'Vf@`IN
buffers,,,b'Vf@z,b'Vf@`z,
buffet,n,,b'VfeI,,b@f'eI
buffet,v,,b'VfIt,,b@f'eI
buffeted,,,b'VfItId,b'VfItI#d,
buffeting,,,b'VfItIN,b'VfI#tIN,b'Vf@tIN
buffets,n,,b'VfeIs,,b@f'eIz
buffets,v,,b'VfIts,,b@f'eIz
bufflehead,,,b'Vf@lhEd,,
buffo,,,b'VfoU,,b'u:foU
Buffon,,,b'Vf@n,,bi:f'QN
buffoon,,,bVf'u:n,,b@f'u:n
buffoonery,,,bVf'u:n@ri:,bVf'u:nEri:,b@f'u:n@`i:
buffs,,,b'Vfs,,
buffy,,,b'VfI,b'Vfi:,
Buford,,,bj'u:f@d,bj'u:f@`d,
bufotenine,,,bj'u:foUtnaIn,,bju:f@t'Eni:n
bug,,,b'Vg,,
bugaboo,,,bj'u:ga#bu:,,b'Vg@bu:
Bugatti,,,bju:g'ati:,,b@g'Qti:
bugbane,,,b'VgbeIn,,
bugbear,,,b'Vgbe@,b'VgbEr,
bugeye,,,b'VgaI,,
bugeyed,,,bj'u:dZId,,b'VgaId
bugged,,,b'Vgd,,
bugger,,,b'Vg@,b'Vg@`,
buggered,,,b'Vg@d,b'Vg@`d,
buggering,,,b'Vg@rIN,b'Vg@`rIN,
buggers,,,b'Vg@z,b'Vg@`z,
buggery,,,b'Vg@ri:,b'Vg@`ri:,b'Vg@`i:
buggier,,,b'VgI@,b'VgI@`,
buggies,,,b'VgIz,,b'Vgi:z
bugging,,,b'VgIN,,
buggy,,,b'Vgi:,,
bughouse,,,b'VghaUs,,
bugle,,,bj'u:g@l,,
bugles,,,bj'u:g@lz,,
bugleweed,,,bj'u:g@lwi:d,,
bugling,,,b'VglIN,,bj'u:glIN
bugloss,,,b'VglQs,b'VglO:s,bj'u:glQs
bugout,,,bj'u:gaUt,,b'VgaUt
bugs,,,b'Vgz,,
bugseed,,,b'Vgsi:d,,
buhl,,,b'u:l,,
buhlwork,,,b'u:lw3:k,,
buhr,,,b'u:@,b'u:@`,bj'Ur
buhrstone,,,b'u:@stoUn,,b'3:stoUn
Buick,,,bj'u:Ik,,
build,,,b'Ild,,
buildable,,,b'Ild@b@l,,
builder,,,b'Ild@,b'Ild@`,
builders,,,b'Ild@z,b'Ild@`z,
building,,,b'IldIN,,
buildings,,,b'IldINz,,
builds,,,b'Ildz,,
buildup,,,b'IldVp,,
buildups,,,b'IldVps,,
built,,,b'Ilt,,
buirdly,,,bj'u:3:dli:,,b'i:rdli:
Buitenzorg,,,bj'u:aItnzO:g,bj'u:aItnzorg,b'OIt@nZO:rk
Bujumbura,,,bju:dZ@mbj'Ur@,,bUZUmb'UrA
Bukavu,,,bju:k'Avu:,,bu:k'Avu:
Bukhara,,,b'VkAr@,,bUk'Ar@
Bukharin,,,b'VkArIn,,b'Vkh@`In
Bukovina,,,bj'u:k@vIn@,,bu:kO:v'InQ
bul,,,b'Vl,,b'u:l
Bulawayo,,,bj'Ula#weIoU,,bu:lAw'AjoU
bulb,,,b'Vlb,,
bulbar,,,b'VlbA,b'VlbAr,b'Vlb@`
bulbel,,,b'Vlb@l,,
bulbiferous,,,bVlb'If@r@s,bVlb'If@`r@s,b@lb'If@`@s
bulbil,,,b'VlbIl,,
bulbous,,,b'Vlb@s,,
bulbs,,,b'Vlbz,,
bulbul,,,b'VlbVl,,b'UlbUl
Bulfinch,,,b'VlfIntS,,b'UlfIntS
Bulganin,,,b'Vlga#nIn,,bUlg'AnIn
bulgar,,,b'Vlg@,b'Vlg@`,
Bulgaria,,,bVlg'e@ri:@,bVlg'Eri:@,b@lg'e@i:@
Bulgarian,,,bVlg'e@ri:@n,bVlg'Eri:@n,b@lg'e@i:@n
Bulgarians,,,bVlg'e@ri:@nz,bVlg'Eri:@nz,b@lg'Eri:@nz
Bulgars,,,b'Vlg@z,b'Vlg@`z,
bulge,,,b'VldZ,,
bulged,,,b'VldZd,,
bulger,,,b'VldZ@,b'VldZ@`,b'Vlg@`
bulges,,,b'VldZIz,b'VldZI#z,
bulging,,,b'VldZIN,,
bulgur,,,b'Vlg@,b'Vlg@`,
bulimia,,,bjUl'Imi:@,bUl'Imi:@,bju:l'Imi:@
bulimiac,,,bjUl'ImIak,,bju:l'Imi:ak
bulimic,,,bjUl'ImIk,,bu:l'ImIk
bulk,,,b'Vlk,,
bulkhead,,,b'VlkhEd,,
bulkheads,,,b'VlkhEdz,,
bulkier,,,b'Vlki:@,b'Vlki:@`,
bulky,,,b'Vlki:,,
bull,,,b'Ul,,
bulla,,,b'Ul@,,
bullace,,,b'UleIs,,b'UlIs
bullae,,,b'Uli:,,
bullary,,,b'Ul@ri:,b'Ul@`ri:,b'Ul@`i:
bullate,,,b'UleIt,,
bullbaiting,,,b'UlbeItIN,,
bullbat,,,b'Ulbat,,
bulldog,,,b'UldQg,b'UldAg,b'UldO:g
bulldogs,,,b'UldQgz,b'UldAgz,b'UldO:gz
bulldoze,,,b'UldoUz,,
bulldozed,,,b'UldoUzd,,
bulldozer,,,b'UldoUz@,b'UldoUz@`,
bulldozers,,,b'UldoUz@z,b'UldoUz@`z,
bulldozes,,,b'UldoUzIz,,
bulldozing,,,b'UldoUzIN,,
bullet,,,b'UlIt,,b'Ul@t
bullethead,,,b'UlIthEd,,
bulletin,,,b'UlItIn,,b'UlIt@n
bulletins,,,b'UlItInz,,b'Ul@t@nz
bulletproof,,,b'UlItpru:f,,b'Ul@tpru:f
bullets,,,b'UlIts,,b'Ul@ts
bullfight,,,b'UlfaIt,,
bullfighter,,,b'UlfaIt@,b'UlfaIt@`,
bullfighting,,,b'UlfaItIN,,
bullfights,,,b'UlfaIts,,b'UlfaItz
bullfinch,,,b'UlfIntS,,
bullfrog,,,b'UlfrQg,b'UlfrAg,b'UlfrO:g
bullfrogs,,,b'UlfrQgz,b'UlfrAgz,b'UlfrO:gz
bullhead,,,b'UlhEd,,
bullheaded,,,b'UlhEdId,b'UlhEdI#d,b'Ulh'EdId
bullheadedly,,,b'UlhIdIdlI,b'UlhIdIdli:,b'Ulh'EdIdli:
bullheadedness,,,b'UlhIdIdn@s,b'UlhIdI#dn@s,b'Ulh'EdIdnEs
bullheads,,,b'UlhEdz,,
bullhorn,,,b'UlhO:n,b'UlhO:rn,
bullhorns,,,b'UlhO:nz,b'UlhO:rnz,
bullied,,,b'UlId,,b'Uli:d
bullies,,,b'UlIz,,b'Uli:z
bullion,,,b'Uli:@n,,b'Ulj@n
bullionist,,,b'Uli:@nIst,,b'Ulj@nIst
bullish,,,b'UlIS,,
bullishly,,,b'UlISli:,,
bullishness,,,b'UlISn@s,,
bullnose,,,b'UlnoUz,,
bullock,,,b'Ul@k,,
bullocks,,,b'Ul@ks,,
bullocky,,,b'Ul@ki:,,
bullous,,,b'Ul@s,,b'Vl@s
bullpen,,,b'UlpEn,,
bullpout,,,b'UlpaUt,,
Bullpup,,,b'UlpVp,,
bullring,,,b'UlrIN,,
bullroarer,,,b'UlrO:r@,b'Ulror@`,
bulls,,,b'Ulz,,
bullshit,,,b'UlSIt,,
bullsnake,,,b'UlsneIk,,
bullterrier,,,b'Ult@rI@,b'Ult@`rI@`,bUlt'Eri:@`
bullwhip,,,b'UlWIp,,
Bullwinkle,,,b'UlwINk@l,,
bully,,,b'UlI,b'Uli:,
bullyboy,,,b'UlIbOI,,b'Uli:bOI
bullying,,,b'UlIIN,,b'Uli:IN
bullyrag,,,b'UlIrag,,b'Uli:rag
bulrush,,,b'UlrVS,,
Bultmann,,,b'Vltman,,b'UltmAn
bulwark,,,b'UlwO:k,b'UlwO:rk,b'Ulw@`k
bum,,,b'Vm,,
bumbailiff,,,b'VmbeIlIf,,bVmb'eIlIf
bumbershoot,,,b'Vmb@Su:t,b'Vmb@`Su:t,
bumble,,,b'Vmb@l,,
bumblebee,,,b'Vmb@lbi:,,
bumbled,,,b'Vmb@ld,,
bumblefoot,,,b'Vmb@lfUt,,
bumblepuppy,,,b'Vmb@lpVpi:,,
bumbles,,,b'Vmb@lz,,
bumbling,,,b'VmblIN,,
bumblingly,,,b'Vmb@lINlI,b'Vmb@lINli:,b'VmblINli:
bumboat,,,b'VmboUt,,
bumf,,,b'Vmf,,b@mf
bumkin,,,b'VmkIn,,
bummalo,,,b'Vm@loU,,
bummaree,,,b'Vma#ri:,,bVm@`'i:
bummed,,,b'Vmd,,
bummer,,,b'Vm@,b'Vm@`,
bump,,,b'Vmp,,
bumped,,,b'Vmpt,,
bumper,,,b'Vmp@,b'Vmp@`,
bumpers,,,b'Vmp@z,b'Vmp@`z,
bumping,,,b'VmpIN,,
bumpkin,,,b'VmpkIn,,
bumpkinly,,,b'VmpkInli:,,
bumpoff,,,b'VmpQf,b'VmpO:f,
bumps,,,b'Vmps,,
bumptious,,,b'VmpS@s,,
bumptiously,,,b'VmpS@sli:,,
bumptiousness,,,b'VmpS@sn@s,,b'VmpS@snEs
bumpy,,,b'Vmpi:,,
bums,,,b'Vmz,,
bun,,,b'Vn,,
buna,,,b'u:n@,,bj'u:n@
bunce,,,b'Vns,,
bunch,,,b'VntS,,
bunchberry,,,b'VntSb@ri:,b'VntSbEri:,
Bunche,,,b'VntS,,
bunched,,,b'VntSt,,
bunches,,,b'VntSIz,b'VntSI#z,b'VntS@z
bunchflower,,,b'VntSflaU@,b'VntSflaU@`,
bunching,,,b'VntSIN,,
bunchy,,,b'VntSi:,,
bunco,,,b'VnkoU,,b'VNkoU
bund,,,b'Vnd,,
Bundelkhand,,,b'VndIlkhand,,bVnd@lk'Vnd
Bundesbank,,,b'VndIsbaNk,,b'UndIsbaNk
Bundesrat,,,b'VndIsrat,,b'u:ndEsrAt
Bundesrath,,,b'VndIsraT,,b'Und@srAt
Bundestag,,,b'VndIstag,,b'Vnd@stag
bundle,,,b'Vnd@l,,
bundled,,,b'Vnd@ld,,
bundles,,,b'Vnd@lz,,
bundling,,,b'VndlIN,,
bundobust,,,b'Vnd@bVst,,
bunds,,,b'Vndz,,
bundy,,,b'Vndi:,,
bung,,,b'VN,,
bungaloid,,,b'VNga#lOId,,b'VNg@lOId
bungalow,,,b'VNga#loU,,b'VNg@loU
bungalows,,,b'VNga#loUz,,b'VNg@loUz
bungee,,,b'VndZi:,,
bungey,,,b'VndZI,b'VndZi:,
bunghole,,,b'VNhoUl,,
bungle,,,b'VNg@l,,
bungled,,,b'VNg@ld,,
bungler,,,b'VNgl@,b'VNgl@`,
bunglers,,,b'VNgl@z,b'VNgl@`z,
bunglesome,,,b'VNg@lsVm,,b'VNg@ls@m
bungling,,,b'VNg@lIN,,b'VNglIN
bunia,,,bj'u:ni:@,,b'u:njA
Bunin,,,bj'u:nIn,,b'u:nIn
bunion,,,b'VnI@n,,b'Vnj@n
bunk,,,b'VNk,,
bunker,,,b'VNk@,b'VNk@`,
bunkers,,,b'VNk@z,b'VNk@`z,
bunkhouse,,,b'VNkhaUs,,
bunkmate,,,b'VNkmeIt,,
bunks,,,b'VNks,,
bunkum,,,b'VNk@m,,
bunn,,,b'Vn,,
bunnies,,,b'VnIz,,b'Vni:z
bunny,,,b'Vni:,,
bunodont,,,b'Vn@dQnt,b'Vn@dAnt,bj'u:n@dQnt
buns,,,b'Vnz,,
Bunsen,,,b'Vns@n,,
bunt,,,b'Vnt,,
buntal,,,b'Vnt@l,,
bunting,,,b'VntIN,,
buntline,,,b'VntlaIn,,b'VntlIn
bunya,,,b'Vnj@,,
Bunyan,,,b'VnI@n,,b'Vnj@n
Bunyanesque,,,bVnIeIn'Esk,,bVnj@n'Esk
bunyip,,,b'VnjIp,,
Buonaparte,,,bj'u:@napAt,bj'u:@napArt,bwQnAp'ArtE
Buonarroti,,,bju:@na#r'oUti:,,bwQnAr'Qti:
buoy,,,b'OI,,b'u:i:
buoyage,,,b'OIIdZ,,b'u:i:IdZ
buoyancy,,,b'OI@nsi:,,
buoyant,,,b'OI@nt,,
buoyantly,,,b'OI@ntli:,,
buoyed,,,b'OId,,b'u:i:d
buoying,,,b'OIIN,,
buoys,,,b'OIz,,b'u:i:z
buprestid,,,b'VprIstId,,bju:pr'EstId
bur,,,b'3:,,
buran,,,bj'Ur@n,,bUr'An
buras,,,bj'Ur@z,,bj'u:r@z
Burbage,,,b'3:bIdZ,,
Burbank,,,b'3:baNk,,
Burberry,,,b'3:b@ri:,b'3:bEri:,b'3:b@`i:
burble,,,b'3:b@l,,
burbled,,,b'3:b@ld,,
burbles,,,b'3:b@lz,,
burbling,,,b'3:blIN,,
burbot,,,b'3:bQt,b'3:bAt,b'3:b@t
Burch,,,b'3:tS,,
burd,,,b'3:d,,
burden,,,b'3:d@n,,
burdened,,,b'3:d@nd,,
burdening,,,b'3:d@nIN,,
burdens,,,b'3:d@nz,,
burdensome,,,b'3:d@nsVm,,b'3:d@ns@m
burdock,,,b'3:dQk,b'3:dAk,
bureau,,,bj'UroU,bj'UrroU,
bureaucracies,,,bjUr'Qkr@si:z,bjUr'Akr@si:z,
bureaucracy,,,bjUr'Qkr@si:,bjUr'Akr@si:,
bureaucrat,,,bj'UroUkrat,bj'UrroUkrat,bj'Ur@krat
bureaucratese,,,bjUroUkreIt'i:z,bjUrroUkreIt'i:z,bj'Ur@krati:z
bureaucratic,,,bjUroUkr'atIk,bjUrroUkr'atIk,bjUr@kr'atIk
bureaucratise,,bureaucratize
bureaucratism,,,bj'UroUkr@tIz@m,bj'UrroUkr@tIz@m,bj'Ur@kratIz@m
bureaucratize,,,bj'UroUkrataIz,bj'UrroUkrataIz,bjUr'Akr@taIz
bureaucrats,,,bj'UroUkrats,bj'UrroUkrats,bj'Ur@krats
bureaus,,,bj'UroUz,bj'UrroUz,
burette,,,bjUr'Et,bjUrr'Et,
burg,,,b'3:g,,
burgage,,,b'3:gIdZ,,
Burgas,,,b'3:g@z,,bUrg'As
burgee,,,b'3:dZi:,,b'3:gi:
Burgenland,,,b'3:dZ@nl@nd,,b'Urg@nlAnt
burgeon,,,b'3:dZ@n,,
burgeoned,,,b'3:dZ@nd,,
burgeoning,,,b'3:dZ@nIN,,
burger,,,b'3:g@,b'3:g@`,
burgers,,,b'3:g@z,b'3:g@`z,
burgess,,,b'3:dZEs,,b'3:dZ@s
burgh,,,b'3:g,,
burghal,,,b'3:g@l,,
burgher,,,b'3:g@,b'3:g@`,
Burghley,,,b'3:glI,b'3:gli:,
burglar,,,b'3:gl@,b'3:gl@`,
burglaries,,,b'3:gl@ri:z,b'3:gl@`ri:z,b'3:gl@`i:z
burglarious,,,b3:gl'e@rI@s,b3:gl'ErI@s,b@`gl'e@i:@s
burglariously,,,b3:gl'e@rI@sli:,b3:gl'ErI@sli:,b@`gl'e@i:@sli:
burglarise,,burglarize
burglarised,,burglarized
burglarize,,,b'3:gl@raIz,b'3:gl@`raIz,b'3:gl@`aIz
burglarized,,,b'3:gl@raIzd,b'3:gl@`raIzd,b'3:gl@`aIzd
burglarproof,,,b'3:glApru:f,b'3:glArpru:f,b'3:gl@`pru:f
burglars,,,b'3:gl@z,b'3:gl@`z,
burglary,,,b'3:gl@ri:,b'3:gl@`ri:,b'3:gl@`i:
burgle,,,b'3:g@l,,
burgling,,,b'3:glIN,,
burgomaster,,,b'3:g@mast@,b'3:g@mast@`,
burgomasters,,,b'3:g@mast@z,b'3:g@mast@`z,
burgonet,,,b'3:g@nEt,,
burgoo,,,b'3:gu:,,
Burgoyne,,,b'3:gOIn,,b@`g'OIn
burgrave,,,b'3:greIv,,
Burgundian,,,b3:g'Vndi:@n,,b@`g'Vndi:@n
Burgundians,,,b3:g'Vndi:@nz,,b@`g'Vndi:@nz
burgundies,,,b'3:gVndIz,,b'3:g@ndi:z
burgundy,,,b'3:gVndi:,,b'3:g@ndi:
burial,,,b'ErI@l,,b'Eri:@l
burials,,,b'ErI@lz,,b'Eri:@lz
buried,,,b'ErId,,b'Eri:d
burier,,,b'ErI@,b'ErI@`,b'Eri:@`
buries,,,b'ErIz,,b'Eri:z
burin,,,b'ErIn,,bj'UrIn
burka,,,b'3:k@,,b'Urk@
burke,,,b'3:k,,
burkes,,,b'3:ks,,
Burkina,,,b3:k'i:n@,,b@`k'i:n@
burkite,,,b'3:kaIt,,
Burks,,,b'3:ks,,
burl,,,b'3:l,,
burlap,,,b'3:lap,,
Burleigh,,,b'3:li:,,
burlesque,,,b3:l'Esk,,b@`l'Esk
burlesquely,,,b3:l'Eskli:,,b@`l'Eskli:
burletta,,,b3:l'Et@,,b@`l'Et@
burley,,,b'3:lI,b'3:li:,
burling,,,b'3:lIN,,
Burlington,,,b'3:lINt@n,,
burly,,,b'3:li:,,
Burma,,,b'3:m@,,
Burman,,,b'3:m@n,,
Burmans,,,b'3:m@nz,,
Burmese,,,b'3:mi:z,,b@`m'i:z
burn,,,b'3:n,,
burnable,,,b'3:n@b@l,,
burned,,,b'3:nd,,
burner,,,b'3:n@,b'3:n@`,
burners,,,b'3:n@z,b'3:n@`z,
burnet,,,b'3:nIt,,
Burnett,,,b'3:nIt,,b@`n'Et
Burney,,,b'3:nI,b'3:ni:,
burning,,,b'3:nIN,,
burningly,,,b'3:nINlI,b'3:nINli:,
burnings,,,b'3:nINz,,
burnish,,,b'3:nIS,,
burnished,,,b'3:nISt,,
burnisher,,,b'3:nIS@,b'3:nIS@`,
Burnley,,,b'3:nlI,b'3:nli:,
burnoose,,,b'3:nu:s,,b@`n'u:s
burnout,,,b'3:naUt,,
burns,,,b'3:nz,,
burnside,,,b'3:nsaId,,
burnsides,,,b'3:nsaIdz,,
burnt,,,b'3:nt,,
burnup,,,b'3:nVp,,
burp,,,b'3:p,,
burping,,,b'3:pIN,,
burr,,,b'3:,,
burrawang,,,b'Vra#waN,b'3:ra#waN,b'Vr@waN
burred,,,b'3:d,,
burrell,,,b'Vr@l,b'3:r@l,b@`'El
